Date,3 Mo
2020-07-15,0.16
2020-07-16,0.11
2020-07-17,0.11
2020-07-20,0.13
2020-07-21,0.13
2020-07-22,0.13
2020-07-23,0.12
2020-07-24,0.11
2020-07-27,0.11
2020-07-28,0.11
2020-07-29,0.11
2020-07-30,0.09
2020-07-31,0.09
2020-08-03,0.1
2020-08-04,0.09
2020-08-05,0.1
2020-08-06,0.1
2020-08-07,0.1
2020-08-10,0.11
2020-08-11,0.11
2020-08-12,0.11
2020-08-13,0.1
2020-08-14,0.1
2020-08-17,0.1
2020-08-18,0.09
2020-08-19,0.11
2020-08-20,0.11
2020-08-21,0.1
2020-08-24,0.12
2020-08-25,0.11
2020-08-26,0.11
2020-08-27,0.11
2020-08-28,0.1
2020-08-31,0.11
2020-09-01,0.12
2020-09-02,0.12
2020-09-03,0.11
2020-09-04,0.11
2020-09-08,0.13
2020-09-09,0.12
2020-09-10,0.12
2020-09-11,0.11
2020-09-14,0.11
2020-09-15,0.11
2020-09-16,0.12
2020-09-17,0.09
2020-09-18,0.1
2020-09-21,0.1
2020-09-22,0.1
2020-09-23,0.11
2020-09-24,0.1
2020-09-25,0.1
2020-09-28,0.11
2020-09-29,0.09
2020-09-30,0.1
2020-10-01,0.09
2020-10-02,0.09
2020-10-05,0.1
2020-10-06,0.1
2020-10-07,0.1
2020-10-08,0.09
2020-10-09,0.1
2020-10-13,0.11
2020-10-14,0.12
2020-10-15,0.11
2020-10-16,0.11
2020-10-19,0.11
2020-10-20,0.1
2020-10-21,0.1
2020-10-22,0.09
2020-10-23,0.1
2020-10-26,0.11
2020-10-27,0.1
2020-10-28,0.1
2020-10-29,0.09
2020-10-30,0.09
2020-11-02,0.09
2020-11-03,0.1
2020-11-04,0.1
2020-11-05,0.1
2020-11-06,0.1
2020-11-09,0.11
2020-11-10,0.1
2020-11-12,0.1
2020-11-13,0.09
2020-11-16,0.09
2020-11-17,0.09
2020-11-18,0.09
2020-11-19,0.07
2020-11-20,0.07
2020-11-23,0.08
2020-11-24,0.09
2020-11-25,0.09
2020-11-27,0.09
2020-11-30,0.08
2020-12-01,0.09
2020-12-02,0.09
2020-12-03,0.08
2020-12-04,0.09
2020-12-07,0.08
2020-12-08,0.09
2020-12-09,0.08
2020-12-10,0.08
2020-12-11,0.08
2020-12-14,0.09
2020-12-15,0.08
2020-12-16,0.09
2020-12-17,0.08
2020-12-18,0.08
2020-12-21,0.09
2020-12-22,0.09
2020-12-23,0.09
2020-12-24,0.09
2020-12-28,0.11
2020-12-29,0.1
2020-12-30,0.08
2020-12-31,0.09
2021-01-04,0.09
2021-01-05,0.09
2021-01-06,0.09
2021-01-07,0.09
2021-01-08,0.08
2021-01-11,0.08
2021-01-12,0.09
2021-01-13,0.09
2021-01-14,0.09
2021-01-15,0.09
2021-01-19,0.09
2021-01-20,0.08
2021-01-21,0.09
2021-01-22,0.08
2021-01-25,0.09
2021-01-26,0.07
2021-01-27,0.08
2021-01-28,0.07
2021-01-29,0.06
2021-02-01,0.07
2021-02-02,0.07
2021-02-03,0.04
2021-02-04,0.04
2021-02-05,0.03
2021-02-08,0.05
2021-02-09,0.04
2021-02-10,0.05
2021-02-11,0.05
2021-02-12,0.04
2021-02-16,0.04
2021-02-17,0.04
2021-02-18,0.03
2021-02-19,0.04
2021-02-22,0.03
2021-02-23,0.04
2021-02-24,0.03
2021-02-25,0.04
2021-02-26,0.04
2021-03-01,0.05
2021-03-02,0.04
2021-03-03,0.05
2021-03-04,0.04
2021-03-05,0.04
2021-03-08,0.05
2021-03-09,0.05
2021-03-10,0.04
2021-03-11,0.04
2021-03-12,0.04
2021-03-15,0.04
2021-03-16,0.02
2021-03-17,0.02
2021-03-18,0.01
2021-03-19,0.01
2021-03-22,0.03
2021-03-23,0.01
2021-03-24,0.02
2021-03-25,0.02
2021-03-26,0.02
2021-03-29,0.03
2021-03-30,0.02
2021-03-31,0.03
2021-04-01,0.02
2021-04-02,0.02
2021-04-05,0.03
2021-04-06,0.02
2021-04-07,0.02
2021-04-08,0.01
2021-04-09,0.02
2021-04-12,0.02
2021-04-13,0.03
2021-04-14,0.02
2021-04-15,0.02
2021-04-16,0.02
2021-04-19,0.02
2021-04-20,0.03
2021-04-21,0.03
2021-04-22,0.03
2021-04-23,0.03
2021-04-26,0.03
2021-04-27,0.01
2021-04-28,0.01
2021-04-29,0.01
2021-04-30,0.01
2021-05-03,0.04
2021-05-04,0.02
2021-05-05,0.02
2021-05-06,0.02
2021-05-07,0.02
2021-05-10,0.02
2021-05-11,0.01
2021-05-12,0.02
2021-05-13,0.02
2021-05-14,0.01
2021-05-17,0.02
2021-05-18,0.02
2021-05-19,0.01
2021-05-20,0.01
2021-05-21,0.01
2021-05-24,0.02
2021-05-25,0.02
2021-05-26,0.02
2021-05-27,0.02
2021-05-28,0.01
2021-06-01,0.02
2021-06-02,0.02
2021-06-03,0.02
2021-06-04,0.02
2021-06-07,0.02
2021-06-08,0.02
2021-06-09,0.03
2021-06-10,0.03
2021-06-11,0.03
2021-06-14,0.03
2021-06-15,0.03
2021-06-16,0.04
2021-06-17,0.04
2021-06-18,0.05
2021-06-21,0.05
2021-06-22,0.04
2021-06-23,0.05
2021-06-24,0.05
2021-06-25,0.06
2021-06-28,0.05
2021-06-29,0.04
2021-06-30,0.05
2021-07-01,0.05
2021-07-02,0.05
2021-07-06,0.05
2021-07-07,0.05
2021-07-08,0.06
2021-07-09,0.06
2021-07-12,0.05
2021-07-13,0.05
2021-07-14,0.06
2021-07-15,0.05
2021-07-16,0.05
2021-07-19,0.05
2021-07-20,0.05
2021-07-21,0.05
2021-07-22,0.05
2021-07-23,0.05
2021-07-26,0.05
2021-07-27,0.05
2021-07-28,0.05
2021-07-29,0.06
2021-07-30,0.06
2021-08-02,0.05
2021-08-03,0.05
2021-08-04,0.05
2021-08-05,0.05
2021-08-06,0.06
2021-08-09,0.06
2021-08-10,0.05
2021-08-11,0.05
2021-08-12,0.06
2021-08-13,0.06
2021-08-16,0.06
2021-08-17,0.07
2021-08-18,0.07
2021-08-19,0.06
2021-08-20,0.05
2021-08-23,0.05
2021-08-24,0.05
2021-08-25,0.06
2021-08-26,0.05
2021-08-27,0.05
2021-08-30,0.05
2021-08-31,0.04
2021-09-01,0.05
2021-09-02,0.05
2021-09-03,0.05
2021-09-07,0.05
2021-09-08,0.05
2021-09-09,0.04
2021-09-10,0.05
2021-09-13,0.06
2021-09-14,0.04
2021-09-15,0.04
2021-09-16,0.04
2021-09-17,0.04
2021-09-20,0.04
2021-09-21,0.03
2021-09-22,0.03
2021-09-23,0.03
2021-09-24,0.03
2021-09-27,0.04
2021-09-28,0.04
2021-09-29,0.04
2021-09-30,0.04
2021-10-01,0.04
2021-10-04,0.04
2021-10-05,0.04
2021-10-06,0.04
2021-10-07,0.05
2021-10-08,0.05
2021-10-12,0.06
2021-10-13,0.05
2021-10-14,0.05
2021-10-15,0.05
2021-10-18,0.06
2021-10-19,0.05
2021-10-20,0.05
2021-10-21,0.06
2021-10-22,0.06
2021-10-25,0.06
2021-10-26,0.06
2021-10-27,0.06
2021-10-28,0.06
2021-10-29,0.05
2021-11-01,0.05
2021-11-02,0.05
2021-11-03,0.05
2021-11-04,0.04
2021-11-05,0.05
2021-11-08,0.06
2021-11-09,0.04
2021-11-10,0.05
2021-11-12,0.05
2021-11-15,0.05
2021-11-16,0.05
2021-11-17,0.05
2021-11-18,0.05
2021-11-19,0.05
2021-11-22,0.05
2021-11-23,0.06
2021-11-24,0.06
2021-11-26,0.06
2021-11-29,0.06
2021-11-30,0.05
2021-12-01,0.06
2021-12-02,0.05
2021-12-03,0.06
2021-12-06,0.05
2021-12-07,0.06
2021-12-08,0.07
2021-12-09,0.06
2021-12-10,0.06
2021-12-13,0.05
2021-12-14,0.05
2021-12-15,0.05
2021-12-16,0.05
2021-12-17,0.05
2021-12-20,0.07
2021-12-21,0.07
2021-12-22,0.08
2021-12-23,0.07
2021-12-27,0.06
2021-12-28,0.06
2021-12-29,0.05
2021-12-30,0.05
2021-12-31,0.06
2022-01-03,0.08
2022-01-04,0.08
2022-01-05,0.09
2022-01-06,0.1
2022-01-07,0.1
2022-01-10,0.13
2022-01-11,0.11
2022-01-12,0.12
2022-01-13,0.12
2022-01-14,0.13
2022-01-18,0.16
2022-01-19,0.17
2022-01-20,0.17
2022-01-21,0.17
2022-01-24,0.19
2022-01-25,0.19
2022-01-26,0.19
2022-01-27,0.2
2022-01-28,0.19
2022-01-31,0.22
2022-02-01,0.19
2022-02-02,0.19
2022-02-03,0.2
2022-02-04,0.23
2022-02-07,0.27
2022-02-08,0.25
2022-02-09,0.26
2022-02-10,0.4
2022-02-11,0.36
2022-02-14,0.43
2022-02-15,0.4
2022-02-16,0.38
2022-02-17,0.36
2022-02-18,0.35
2022-02-22,0.37
2022-02-23,0.34
2022-02-24,0.32
2022-02-25,0.33
2022-02-28,0.35
2022-03-01,0.32
2022-03-02,0.34
2022-03-03,0.38
2022-03-04,0.34
2022-03-07,0.38
2022-03-08,0.36
2022-03-09,0.38
2022-03-10,0.39
2022-03-11,0.4
2022-03-14,0.45
2022-03-15,0.46
2022-03-16,0.44
2022-03-17,0.4
2022-03-18,0.42
2022-03-21,0.54
2022-03-22,0.51
2022-03-23,0.5
2022-03-24,0.52
2022-03-25,0.55
2022-03-28,0.59
2022-03-29,0.55
2022-03-30,0.55
2022-03-31,0.52
2022-04-01,0.53
2022-04-04,0.66
2022-04-05,0.65
2022-04-06,0.67
2022-04-07,0.68
2022-04-08,0.7
2022-04-11,0.77
2022-04-12,0.74
2022-04-13,0.75
2022-04-14,0.79
2022-04-18,0.81
2022-04-19,0.81
2022-04-20,0.82
2022-04-21,0.83
2022-04-22,0.83
2022-04-25,0.91
2022-04-26,0.83
2022-04-27,0.82
2022-04-28,0.82
2022-04-29,0.85
2022-05-02,0.9
2022-05-03,0.91
2022-05-04,0.89
2022-05-05,0.85
2022-05-06,0.85
2022-05-09,0.92
2022-05-10,0.89
2022-05-11,0.91
2022-05-12,0.96
2022-05-13,1.03
2022-05-16,1.07
2022-05-17,1.06
2022-05-18,1.03
2022-05-19,1.05
2022-05-20,1.03
2022-05-23,1.07
2022-05-24,1.06
2022-05-25,1.06
2022-05-26,1.07
2022-05-27,1.08
2022-05-31,1.16
2022-06-01,1.15
2022-06-02,1.17
2022-06-03,1.21
2022-06-06,1.26
2022-06-07,1.26
2022-06-08,1.28
2022-06-09,1.3
2022-06-10,1.39
2022-06-13,1.73
2022-06-14,1.83
2022-06-15,1.74
2022-06-16,1.59
2022-06-17,1.63
2022-06-21,1.7
2022-06-22,1.61
2022-06-23,1.65
2022-06-24,1.73
2022-06-27,1.79
2022-06-28,1.79
2022-06-29,1.78
2022-06-30,1.72
2022-07-01,1.73
2022-07-05,1.9
2022-07-06,1.9
2022-07-07,1.95
2022-07-08,1.98
2022-07-11,2.18
2022-07-12,2.22
2022-07-13,2.39
2022-07-14,2.4
2022-07-15,2.37
2022-07-18,2.5
2022-07-19,2.52
2022-07-20,2.51
2022-07-21,2.48
2022-07-22,2.49
2022-07-25,2.62
2022-07-26,2.55
2022-07-27,2.44
2022-07-28,2.42
2022-07-29,2.41
2022-08-01,2.56
2022-08-02,2.56
2022-08-03,2.52
2022-08-04,2.5
2022-08-05,2.58
2022-08-08,2.65
2022-08-09,2.67
2022-08-10,2.65
2022-08-11,2.62
2022-08-12,2.63
2022-08-15,2.72
2022-08-16,2.7
2022-08-17,2.68
2022-08-18,2.71
2022-08-19,2.74
2022-08-22,2.82
2022-08-23,2.8
2022-08-24,2.82
2022-08-25,2.88
2022-08-26,2.89
2022-08-29,2.97
2022-08-30,2.97
2022-08-31,2.96
2022-09-01,2.97
2022-09-02,2.94
2022-09-06,3.04
2022-09-07,3.07
2022-09-08,3.06
2022-09-09,3.08
2022-09-12,3.17
2022-09-13,3.28
2022-09-14,3.24
2022-09-15,3.22
2022-09-16,3.2
2022-09-19,3.37
2022-09-20,3.35
2022-09-21,3.31
2022-09-22,3.29
2022-09-23,3.24
2022-09-26,3.39
2022-09-27,3.35
2022-09-28,3.4
2022-09-29,3.36
2022-09-30,3.33
2022-10-03,3.46
2022-10-04,3.45
2022-10-05,3.46
2022-10-06,3.46
2022-10-07,3.45
2022-10-11,3.67
2022-10-12,3.7
2022-10-13,3.79
2022-10-14,3.81
2022-10-17,3.97
2022-10-18,4.04
2022-10-19,4.07
2022-10-20,4.09
2022-10-21,4.09
2022-10-24,4.16
2022-10-25,4.14
2022-10-26,4.11
2022-10-27,4.13
2022-10-28,4.18
2022-10-31,4.22
2022-11-01,4.23
2022-11-02,4.22
2022-11-03,4.25
2022-11-04,4.21
2022-11-07,4.29
2022-11-08,4.28
2022-11-09,4.29
2022-11-10,4.28
2022-11-14,4.34
2022-11-15,4.31
2022-11-16,4.32
2022-11-17,4.32
2022-11-18,4.34
2022-11-21,4.41
2022-11-22,4.4
2022-11-23,4.4
2022-11-25,4.41
2022-11-28,4.41
2022-11-29,4.38
2022-11-30,4.37
2022-12-01,4.33
2022-12-02,4.34
2022-12-05,4.36
2022-12-06,4.37
2022-12-07,4.29
2022-12-08,4.28
2022-12-09,4.31
2022-12-12,4.38
2022-12-13,4.35
2022-12-14,4.33
2022-12-15,4.34
2022-12-16,4.31
2022-12-19,4.37
2022-12-20,4.35
2022-12-21,4.33
2022-12-22,4.35
2022-12-23,4.34
2022-12-27,4.46
2022-12-28,4.46
2022-12-29,4.45
2022-12-30,4.42
